1,109,1,677,5,\N,10,1,"(500) Days of Summer",\N,7.7,95
2,107,1,\N,14,\N,11,1,"[Rec]",\N,7.4,78
3,79,1,\N,5,\N,11,4,"10",\N,6.1,122
4,116,1,\N,1,\N,10,2,"10 Cloverfield Lane",\N,7.2,103
5,99,1,\N,5,\N,10,1,"10 Things I Hate About You",\N,7.3,97
6,111,1,\N,5,\N,10,1,"10 Years",\N,6.1,110
7,108,\N,\N,1,34,10,\N,"10,000 BC",269784201,\N,109
8,96,1,\N,2,\N,4,2,"101 Dalmatians",\N,5.7,103
9,57,1,995,6,\N,1,2,"12 Angry Men",\N,9,96
10,121,1,\N,13,\N,10,1,"12 Mighty Orphans",\N,6.8,118
11,100,2,\N,2,\N,12,1,"12 Monkeys",\N,7.7,42
12,118,1,\N,1,\N,11,2,"12 Strong",\N,6.6,130
13,113,1,1017,4,\N,11,4,"12 Years a Slave",\N,8.1,134
14,110,1,209,4,\N,11,1,"127 Hours",\N,7.5,94
15,60,1,\N,14,\N,\N,2,"13 Ghosts",\N,6.1,85
16,104,1,\N,5,\N,10,1,"13 Going on 30",\N,6.2,98
17,116,1,\N,1,\N,11,2,"13 Hours",\N,7.3,144
18,121,1,\N,1,\N,10,\N,"13 Minutes (II)",\N,\N,108
19,105,2,\N,8,\N,14,4,"13 Reasons Why",\N,7.5,60
20,107,1,\N,10,\N,10,1,"1408",\N,6.8,104
21,109,1,\N,5,\N,10,3,"17 Again",\N,6.4,102
22,119,1,966,1,31,11,2,"1917",384919389,8.2,119
23,117,1,\N,6,\N,14,2,"1922",\N,6.3,102
24,104,2,\N,5,\N,12,3,"2 Broke Girls",\N,6.6,22
25,96,1,\N,5,\N,11,3,"2 Days in the Valley",\N,6.5,104
26,103,1,\N,1,31,10,1,"2 Fast 2 Furious",236350661,5.9,107
27,113,1,\N,1,\N,11,3,"2 Guns",\N,6.7,109
28,68,1,1006,20,\N,4,2,"2001: A Space Odyssey",386041607,8.3,144
29,84,1,\N,2,\N,9,2,"2010: The Year We Make Contact",\N,6.8,116
30,109,1,\N,1,23,10,1,"2012",791217826,5.8,158
31,120,1,\N,20,\N,\N,2,"2067",\N,4.9,114
32,108,1,\N,6,23,10,1,"21",159808370,6.8,123
33,119,1,\N,1,\N,11,2,"21 Bridges",\N,6.6,99
